,conversation_id,date,hashtags,id,likes_count,name,replies_count,retweets_count,time,tweet,user_id,username,tag,target,num_hashtags,time_of_day,month,day,season,compound
0,1133114304109174784,2019-05-27,"['#mentalhealthweek', '#garden', '#anxiety', '#mentalhealth']",1133114304109174785,3,MandyCharlton,0,2,1654,"""So, let's just talk about gardening for a moment, Alan Titchmarsh, Monty Don, Gardeners World, mature sedate ladies cutting roses and deadheading poppies in their white painted cottages in the countryside.""  https://lttr.ai/C6S0  #mentalhealthweek #Garden #Anxiety #MentalHealth pic.twitter.com/NVC8DlvdC6",14450939,mandycharlton,hashtag_anxiety,1,4,PM,5,Monday,spring,0.3182
1,1133070362885799936,2019-05-27,"['#anxious', '#good', '#happiness', '#anxiety']",1133070362885799936,2,MTV Lebanon News,0,0,1400,This Is Why You Get More #Anxious After Something #Good Happens  http://bit.ly/2QsNPvF  #happiness #anxiety  pic.twitter.com/niaZW9307D,397199380,mtvlebanonnews,hashtag_anxiety,1,4,PM,5,Monday,spring,0.0
2,1133040214748925952,2019-05-27,"['#londonreal', '#motivation', '#sadhguru', '#innerengineering', '#stress', '#anxiety', '#depression', '#consciousness', '#nothingtofearday', '#memorialday', '#mondaymotivation', '#fear', '#joy', '#anger', '#inspiration']",1133040214748925952,39,Isha USA,0,23,1200,"#LondonReal #Motivation #Sadhguru SADHGURU - THE POWER OF #InnerEngineering - Part 1/2: How To Manage #Stress, #Anxiety & #Depression –  http://bit.ly/2wnZySU   Changing global #consciousness #NothingToFearDay #MemorialDay #MondayMotivation #Fear #Joy #Anger #Inspiration",450083100,ishausa,hashtag_anxiety,1,15,PM,5,Monday,spring,0.0
3,1133032399107973120,2019-05-27,"['#anxious', '#good', '#happiness', '#anxiety']",1133032399107973120,0,MTV English News,0,1,1129,This Is Why You Get More #Anxious After Something #Good Happens  http://bit.ly/2QsNPvF  #happiness #anxiety  pic.twitter.com/UKGzJf9Ls0,1089342374,mtvenglishnews,hashtag_anxiety,1,4,AM,5,Monday,spring,0.0
4,1133025820845465600,2019-05-27,"['#cannabis', '#cbd', '#pain', '#anxiety', '#cancer', '#chronicpain', '#canada', '#cannabisnews']",1133025820845465600,4,Advanced Nutrients,0,1,1103,"The money will partially go towards 26 projects across the country that cover topics such as the use of #cannabis and #CBD oil to treat #pain and #anxiety, as well as potentially #cancer, #chronicpain, and neurological issues:  https://www.ganjapreneur.com/canada-invests-24-5m-into-cannabis-research/ … #Canada #cannabisnews",15825795,advancednutes,hashtag_anxiety,1,8,AM,5,Monday,spring,0.5859
5,1133010190876499968,2019-05-27,"['#ccvonline', '#anxiety']",1133010190876499968,22,Caleb Kaltenbach,0,5,1000,"You don’t control every thought that flies into your mind, but you do control which ones you allow to land.    Become the air traffic controller of your mind (Php 4:8).   @ashlwooldridge #ccvonline #anxiety",17222924,calebwilds,hashtag_anxiety,1,2,AM,5,Monday,spring,0.3291
6,1132989836879646720,2019-05-27,['#anxiety'],1132989836879646722,43,Phys.org,1,16,840,"Best of Last Week: The geometry of an electron, a $2M medicine and a link between #anxiety and gut bacteria  https://sciencex.com/news/2019-05-week-geometry-electron-2m-medicine.html …",17248121,physorg_com,hashtag_anxiety,1,1,AM,5,Monday,spring,0.6369
7,1132946938637246464,2019-05-27,"['#mentalhealthmonth', '#anxietyhelp', '#anxiety', '#mentalhealthmonth']",1132946938637246465,0,Jorge Luis Lopez Esq,0,0,549,#MentalHealthMonth RT @oldsoulgrlpowr: I have anxiety and I always have to remind myself of this #anxietyhelp #anxiety #MentalHealthMonth…  https://twitter.com/i/web/status/1132944452383858688 …,92677101,lopezgovlaw,hashtag_anxiety,1,4,AM,5,Monday,spring,-0.1779
8,1132932706382303232,2019-05-27,['#anxiety'],1132932706382303232,3,Totaljobs,0,2,453,Anxious at work? Here are some essential tips for dealing with #anxiety.  http://bit.ly/2IK6M7G ,34282316,totaljobsuk,hashtag_anxiety,1,1,AM,5,Monday,spring,-0.25
9,1132924149075251200,2019-05-27,"['#nationalmentalhealthawarenessmonth', '#anxiety', '#mentalhealth']",1132924149075251200,12,IHadCancer,0,7,419,""" I will have to hold down two jobs:  lawyer and chronic cancer worrier."" #nationalmentalhealthawarenessmonth #anxiety #mentalhealth https://bit.ly/2w9HefY ",44800896,ihadcancer,hashtag_anxiety,1,3,AM,5,Monday,spring,-0.6597
10,1132909291680276480,2019-05-27,"['#mentalhealthmonth', '#chrisevans', '#mentalhealthmonth', '#anxiety']",1132909291680276480,0,Jorge Luis Lopez Esq,0,0,319,#MentalHealthMonth RT @Iheardthisonce: Such an important conversation. #ChrisEvans #MentalHealthMonth #Anxiety  https://pin.it/kzlf34dbjfutqx ,92677101,lopezgovlaw,hashtag_anxiety,1,4,AM,5,Monday,spring,0.2023
