,conversation_id,date,hashtags,id,likes_count,name,replies_count,retweets_count,time,tweet,user_id,username,target,tag,num_hashtags,time_of_day,month,day,season,compound
0,1133138472645124096,2019-05-27,"['#sleepwell', '#sleep', '#goodnight', '#sleeptight', '#nightnight', '#timeforbed', '#greatday', '#lovelife', '#positivity', '#happy', '#happiness', '#behappy', '#happiness', '#feelgood', '#loveforever']",1133138472645124096,9,Flavia Cacace-Mistry,0,1,1830,See you Bright & Breezy Tomorrow😘 #sleepwell #sleep #goodnight #sleeptight #nightnight #timeforbed #greatday #lovelife #positivity #happy #happiness #behappy #happiness #feelgood #loveforever pic.twitter.com/2WgSOZClz3,155184017,flaviacacace,0,hashtag_happiness,15,PM,5,Monday,spring,0.4404
1,1133099202542575616,2019-05-27,"['#dating', '#onlinedating', '#relationships', '#happiness', '#mindfulness']",1133099202542575616,0,John McElhenney #ATX,0,2,1554,Even the High Is Exhausting: A Mindful Pause    http://sumo.ly/12SoP  #dating #onlinedating #relationships #happiness #mindfulness pic.twitter.com/MOKIO07Q4Y,14266588,jmacofearth,0,hashtag_happiness,5,PM,5,Monday,spring,-0.3612
2,1133099174033932288,2019-05-27,"['#blessed', '#temecula', '#happiness', '#memorialdayweekend']",1133099174033932288,124,Ali Levine,4,13,1554,Happy Memorial Day Weekend dears! Hope you’re having a fabulous one!! ❤️🥰 enjoying it with my loves! #blessed #temecula #happiness #MemorialDayWeekend pic.twitter.com/FSoiQco9d5,359628838,alilevinedesign,0,hashtag_happiness,4,PM,5,Monday,spring,0.9689
3,1133088342625538048,2019-05-27,"['#happiness', '#marriage', '#aging']",1133088342625538049,47,Timothy Caulfield,2,11,1511,"""Women are happier without children or a spouse, says happiness expert"" [no comment on cats]  https://www.theguardian.com/lifeandstyle/2019/may/25/women-happier-without-children-or-a-spouse-happiness-expert?CMP=share_btn_tw … via @siancain #happiness #marriage #aging @profpauldolan: ""...if you’re a man, you should probably get married; if you’re a woman, don’t bother.”",407395156,caulfieldtim,0,hashtag_happiness,3,PM,5,Monday,spring,0.7906
4,1133088213634035712,2019-05-27,"['#success', '#happiness']",1133088213634035713,2,24-7 Intouch,0,0,1510,"While we can't say which comes first–happiness or #success, we do believe #happiness is an attitude -  http://bit.ly/2wqHZBu  via @FastCompany",6816822,247intouch,0,hashtag_happiness,2,PM,5,Monday,spring,0.0
5,1133070362885799936,2019-05-27,"['#anxious', '#good', '#happiness', '#anxiety']",1133070362885799936,2,MTV Lebanon News,0,0,1400,This Is Why You Get More #Anxious After Something #Good Happens  http://bit.ly/2QsNPvF  #happiness #anxiety pic.twitter.com/niaZW9307D,397199380,mtvlebanonnews,0,hashtag_happiness,4,PM,5,Monday,spring,0.0
6,1133053887966064640,2019-05-27,"['#motivationmonday', '#positive', '#straightforward', '#truth', '#honesty', '#loyalty', '#fair', '#nogames', '#love', '#peace', '#joy', '#happiness']",1133053887966064640,2,Ray Edwards Jr,0,0,1254,Play Fair #motivationmonday #positive #straightforward #truth #honesty #loyalty #fair #nogames #love #peace #joy #happiness  https://www.instagram.com/p/Bx-SazzHeph/?igshid=1diandt0x1i23 …,132316838,ray_edwards,0,hashtag_happiness,12,PM,5,Monday,spring,0.5719
7,1133050060193710080,2019-05-27,"['#wisdom', '#happiness', '#inspiration', '#quotes', '#power', '#motivation', '#success', '#werise', '#iempower']",1133050060193710080,7,Lisa Catara,0,1,1239,"""It's not how deep you go, it's how you go deep.""  -Ida Rolf 🙌🏼 #wisdom #happiness #inspiration #quotes #power #motivation #success #werise #iempower pic.twitter.com/dxdR2F7X41",793060405,lisa_catara,0,hashtag_happiness,9,PM,5,Monday,spring,0.0
8,1133032399107973120,2019-05-27,"['#anxious', '#good', '#happiness', '#anxiety']",1133032399107973120,0,MTV English News,0,1,1129,This Is Why You Get More #Anxious After Something #Good Happens  http://bit.ly/2QsNPvF  #happiness #anxiety pic.twitter.com/UKGzJf9Ls0,1089342374,mtvenglishnews,0,hashtag_happiness,4,AM,5,Monday,spring,0.0
9,1132995906897362944,2019-05-27,"['#dog', '#cavoodle', '#love', '#joy', '#happiness', '#cavoodlesofinstagram']",1132995906897362945,0,Holly Corbett (Monery),0,0,904,Old mate @freddie_the_therapy_cavoodle being adorable. #dog #cavoodle #love #joy #happiness #cavoodlesofinstagram  http://bit.ly/2YQICAt  pic.twitter.com/r2iIc0hTmn,197257422,holly_corb,0,hashtag_happiness,6,AM,5,Monday,spring,0.4939
