,conversation_id,created_at,date,hashtags,id,likes_count,name,replies_count,retweets_count,time,timezone,tweet,user_id,username,compound
0,1133067089990651904,2019-05-27 17:47:00,2019-05-27 00:00:00,['#lonely'],1133067089990651904,4,Zoosk,1,0,13:47:00,EDT,"It seems like a strange contradiction, but it’s not uncommon for people in committed relationships to be #lonely. More here:  https://www.zoosk.com/date-mix/relationship-advice/can-lonely-marriage-committed-relationship/ …",14539425,zoosk,0.3612
1,1130638101003603968,2019-05-21 00:55:04,2019-05-20 00:00:00,"['#lonely', '#loneliness', '#datingadvice', '#alone', '#mondaymotivation', '#mondayblues', '#monday', '#lifeadvice', '#dating', '#howtocope']",1130638101003603968,2,Dr. Ava Cadell,0,0,20:55:04,EDT,Feeling Deserted How to cope with loneliness and being alone:  https://www.psychologytoday.com/us/blog/good-mourning/201905/feeling-deserted … #Lonely #Loneliness #DatingAdvice #alone #MondayMotivation #MondayBlues #Monday #LifeAdvice #Dating #HowToCope,29370507,dravacadell,-0.5106
2,1130622656582234112,2019-05-20 23:53:41,2019-05-20 00:00:00,"['#mentalhealthmonth', '#lonely', '#damage', '#lifespan', '#smoking', '#cigarettes']",1130622656582234112,0,Jorge Luis Lopez Esq,0,0,19:53:41,EDT,#MentalHealthMonth RT @lastingrecovery: Being #lonely cause the same amount of #damage to your #lifespan as #smoking 15 #cigarettes a day and is more…  https://twitter.com/i/web/status/1130620924984606720 …,92677101,lopezgovlaw,0.0
3,1129499676372328448,2019-05-17 21:31:22,2019-05-17 00:00:00,"['#loneliness', '#podcast', '#lonely']",1129499676372328454,1,Beaumont Health,0,0,17:31:22,EDT,Loneliness can affect anyone at any stage of life... and its impacts are real and detrimental to your health.  https://bmntsys.tm/2waWQzP  #loneliness #podcast #lonely,41650007,beaumonthealth,-0.4215
4,1128616021785546752,2019-05-15 11:00:02,2019-05-15 00:00:00,"['#mentalhealthawarnessweek', '#commbiz', '#lonely', '#endloneliness']",1128616021785546753,10,Plunkett Foundation,1,8,07:00:02,EDT,💚 For #MentalHealthAwarnessWeek we are putting the spotlight on #commbiz across the UK and how they support people feeling #lonely to be involved in their community #EndLoneliness @EndLonelinessUK @Cletwr @HampsteadNorrey pic.twitter.com/hNzaDh4ALV,52419300,plunkettfoundat,0.4939
5,1128039001229799424,2019-05-13 20:47:10,2019-05-13 00:00:00,"['#lonely', '#thesizzleonhot']",1128039001229799425,5,Hot 96 FM Kenya,0,3,16:47:10,EDT,NP #Lonely by @Akon On #TheSizzleOnHot with @AnnitahRaey,340400173,hot_96kenya,0.4824
6,1126562914616451072,2019-05-09 19:01:44,2019-05-09 00:00:00,"['#lonely', '#veterans']",1126562914616451072,0,JCP in Dorset,0,0,15:01:44,EDT,Do you sometimes feel #lonely or isolated but are too proud to ask for help? The @VeteransGateway can put you in touch with organisations who can support you. Contact the Veterans’ Gateway today  http://ow.ly/xyDw30oF7is  #veterans pic.twitter.com/z0OHDv2AzP,835056307153551360,jcpindorset,0.891
7,1126509754614837248,2019-05-09 15:30:29,2019-05-09 00:00:00,"['#lonely', '#veterans', '#veterans']",1126509754614837252,0,JCP In NW Wales,0,0,11:30:29,EDT,Do you sometimes feel #lonely or isolated but are too proud to ask for help? The @VeteransGateway can put you in touch with organisations who can support you. Contact the #Veterans Gateway today  http://ow.ly/9loF50u2W1L  #veterans pic.twitter.com/ePTrwxNlLe,1911242132,jcpinnwwales,0.891
8,1125452666665095168,2019-05-06 17:30:00,2019-05-06 00:00:00,"['#lonely', '#relationship', '#relationshipadvice']",1125452666665095174,1,MTV Lebanon News,1,1,13:30:00,EDT,Feeling #Lonely in Your #Relationship? Here's What to Do About It  http://bit.ly/2PNJjaA  #RelationshipAdvice pic.twitter.com/CxtXnuYNio,397199380,mtvlebanonnews,0.128
9,1125430918070644736,2019-05-06 16:03:35,2019-05-06 00:00:00,"['#lonely', '#relationship', '#relationshipadvice']",1125430918070644737,0,MTV English News,0,0,12:03:35,EDT,Feeling #Lonely in Your #Relationship? Here's What to Do About It  http://bit.ly/2PNJjaA  #RelationshipAdvice pic.twitter.com/pCtfh4JZ6A,1089342374,mtvenglishnews,0.128
10,1124750764855971840,2019-05-04 19:00:53,2019-05-04 00:00:00,"['#lonely', '#veterans']",1124750764855971840,0,JCP in Portsmouth & Isle of Wight,0,0,15:00:53,EDT,Do you sometimes feel #lonely or isolated but are too proud to ask for help? The @VeteransGateway can put you in touch with organisations who can support you. Contact the Veterans’ Gateway today  http://ow.ly/mKR850txTSR  #veterans pic.twitter.com/uSoEuaZK35,373974129,jcpinportsm_iow,0.891
11,1124087938822955008,2019-05-02 23:07:03,2019-05-02 00:00:00,"['#lonely', '#macn']",1124087938822955009,2,MAC MALL,0,0,19:07:03,EDT,So proud of my niece nettleilani_ erybody check out her new knock #LONELY keep up the good work bbgurl you know I got to back #MACN  https://www.instagram.com/p/Bw-UFMchQpX/?utm_source=ig_twitter_share&igshid=gol6ei72po72 …,34816661,therealmacmall,0.7425
12,1123213921983377408,2019-04-30 13:14:01,2019-04-30 00:00:00,"['#lonely', '#mentalhealth', '#wellbeing']",1123213921983377408,1,NetSupport,0,0,09:14:01,EDT,#Lonely young adults 'in every area'  https://www.bbc.co.uk/news/education-48041984 … #mentalhealth #wellbeing pic.twitter.com/gmHdc41I8F,19898510,netsupportgroup,0.0
13,1121489147833856000,2019-04-25 19:00:23,2019-04-25 00:00:00,"['#sleep', '#lonely']",1121489147833856002,3,Dr. Michael Breus,0,2,15:00:23,EDT,How Your Sleep Impacts Your Emotional Well-Being:  http://bit.ly/lonelysleep  #sleep #lonely,20636436,thesleepdoctor,0.1531
14,1120628617581596672,2019-04-23 10:00:57,2019-04-23 00:00:00,"['#lonely', '#veterans']",1120628617581596672,0,JCP in Wiltshire,0,0,06:00:57,EDT,Do you sometimes feel #lonely or isolated but are too proud to ask for help? The @VeteransGateway can put you in touch with organisations who can support you. Contact the Veterans’ Gateway today  http://ow.ly/7t6I30mpxJq  #veterans pic.twitter.com/bpx3yLWQf1,835065955046809604,jcpinwiltshire,0.891
