,conversation_id,date,hashtags,id,likes_count,name,replies_count,retweets_count,time,tweet,user_id,username,target,tag,num_hashtags,time_of_day,month,day,season,compound
0,1133079170328793088,2019-05-27,"['#breathing', '#stress']",1133079170328793088,0,Tristan Pollock,0,0,1435,Did you know diaphragmatic #breathing can reduce #stress and anxiety? Discover the science behind diaphragm breathing! -  https://buff.ly/2Kvn5Ln  - @SelfHelpHealing,17051045,pollock,1,hashtag_stress,2,PM,5,Monday,spring,-0.2481
1,1133040214748925952,2019-05-27,"['#londonreal', '#motivation', '#sadhguru', '#innerengineering', '#stress', '#anxiety', '#depression', '#consciousness', '#nothingtofearday', '#memorialday', '#mondaymotivation', '#fear', '#joy', '#anger', '#inspiration']",1133040214748925952,39,Isha USA,0,23,1200,"#LondonReal #Motivation #Sadhguru SADHGURU - THE POWER OF #InnerEngineering - Part 1/2: How To Manage #Stress, #Anxiety & #Depression –  http://bit.ly/2wnZySU   Changing global #consciousness #NothingToFearDay #MemorialDay #MondayMotivation #Fear #Joy #Anger #Inspiration",450083100,ishausa,1,hashtag_stress,15,PM,5,Monday,spring,0.0
2,1132851419609010176,2019-05-26,['#stress'],1132851419609010176,0,ET Panache,0,1,2330,The #stress test can be applied to different bodily fluids.   https://bit.ly/2X62ijw ,36323511,etpanache,1,hashtag_stress,1,PM,5,Sunday,spring,0.0
3,1132829852862681088,2019-05-26,['#stress'],1132829852862681090,6,Lori Lite,0,5,2204,"Harris said that when children are exposed to high levels of stress or abuse often enough, hormones are triggered that can have lasting effects on brain development and the immune system  https://www.latimes.com/politics/la-pol-ca-surgeon-general-adverse-childhood-experience-screenings-20190318-story.html … #stress",68233373,stressfreekids,1,hashtag_stress,1,PM,5,Sunday,spring,-0.7269
4,1132822457671462912,2019-05-26,"['#mentalhealthmonth', '#stress', '#mentalhealthmonth']",1132822457671462913,1,Jorge Luis Lopez Esq,0,0,2134,#MentalHealthMonth RT @8THIRTYFOUR: Stressed out? Tackle it like a pro. #stress #mentalhealthmonth http://ow.ly/tPyg50uo0oo ,92677101,lopezgovlaw,1,hashtag_stress,3,PM,5,Sunday,spring,0.0258
5,1132751513074503680,2019-05-26,"['#overworked', '#homeopathic', '#fatigue', '#stress']",1132751513074503682,2,Boiron USA,0,0,1653,Exhausted and #overworked? There are a variety of #homeopathic medicines that can help get you back on track!  https://bit.ly/2QH4mLb  #fatigue #stress,43492105,boironusa,1,hashtag_stress,4,PM,5,Sunday,spring,0.126
6,1132679123237855232,2019-05-26,"['#mentalhealthmonth', '#stress']",1132679123237855232,0,Jorge Luis Lopez Esq,0,0,1205,"#MentalHealthMonth RT @mhanorthshore: Get organized, de-clutter this spring and develop a morning routine to gain a sense of control and manage #stress.…  https://twitter.com/i/web/status/1132678136552972288 …",92677101,lopezgovlaw,1,hashtag_stress,2,PM,5,Sunday,spring,0.5267
7,1132648005805510656,2019-05-26,"['#app', '#stress', '#nhsappslibrary', '#mentalhealth', '#stressmanagement', '#wellbeing', '#stressawarenessmonth']",1132648005805510656,26,NHS England,1,12,1001,Could an #app help manage your #stress levels? The #NHSAppsLibrary  has a range of approved #mentalhealth apps that you can trust ➡️  https://www.nhs.uk/apps-library/  #stressmanagement #Wellbeing #StressAwarenessMonth,551426814,nhsengland,1,hashtag_stress,7,AM,5,Sunday,spring,0.8316
8,1132551251110113280,2019-05-26,"['#stress', '#anxiety', '#habit']",1132551251110113281,12,Natasha Devon MBE,0,1,337,.@ShahrooIzadi and I are at @mbsfestival at London Olympia today - From 11am we’ll be delivering a workshop on #stress #anxiety & #habit change. Come and say hi! pic.twitter.com/0vNMMkzaeS,222725144,_natashadevon,1,hashtag_stress,3,AM,5,Sunday,spring,0.0
9,1132435720256270336,2019-05-25,"['#childhood', '#stress']",1132435720256270336,3,Lori Lite,0,1,1958,"“We assume #childhood is stress free. Take a closer look. Kids have so many commitments: studies, activities, etc. “It’s difficult to balance” via Mariya Didi  http://bit.ly/2GelClf  #stress",68233373,stressfreekids,1,hashtag_stress,2,PM,5,Saturday,spring,-0.0571
